No.	Fund	Ref. No.	Project Title	Applicant(s)
181	HMRF - Advanced Medical Research	7180736	Molecular stratification of adult gliomas for prognostication using next generation sequencing approach	NG Ho-keung
182	HMRF - Advanced Medical Research	7181396	Development of a new class of targeted therapeutics for triple-negative breast cancer therapy	LO Pik Kwan Peggy
183	HMRF - Advanced Medical Research	7181426	Development of big data tools for high-throughput sequencing data with applications to colorectal cancer genomes	WONG Ka-Chun
184	HMRF - Advanced Medical Research	7181536	Molecular classification based on microsatellite instability and RAS pathway status as prognostic biomarkers for risk stratification of metastatic relapse in colon carcinoma patients	KO Mun Yee
185	HMRF - Advanced Medical Research	7181576	Survival Estimate Models of Cancer Patients with Spinal Metastases: Big Data Analytics to Aid Daily Clinical Practice	LAM Tai Chung
186	HMRF - Advanced Medical Research	7181936	Development of photo-targeted nanocarriers for esophageal cancer therapy	WANG Weiping
187	HMRF - Advanced Medical Research	7181956	Pathological roles of BRPF1 deregulation and its therapeutic implications in liver cancer	WONG Chun Ming
188	HMRF - Advanced Medical Research	7182016	A Computational Framework Using Genomic and Transcriptomic Features for Predicting Resistance to PD-1/PDL-1 Checkpoint Inhibition in Gastrointestinal Tract (GIT) Cancer	DAI Wei
189	HMRF - Advanced Medical Research	7182026	The synergistic effect of Ivabradine and Olaparib on triple negative breast cancer	KHOO Ui Soon
190	HMRF - Advanced Medical Research	7182036	Role of BTRC mediated-ubiquitination in DNA damage response and associated drug sensitivity	CHEUNG Lydia Wai Ting
191	HMRF - Advanced Medical Research	7182046	Targeting CHK2 to reduce the expression of BQ323636.1 in ER+ breast cancer to reverse tamoxifen resistance	TSOI Ho
192	HMRF - Advanced Medical Research	7182096	Targeting exosome Nidogen-1 as a potential treatment of liver cancer	MAO Xiaowen
193	HMRF - Advanced Medical Research	7182296	Therapeutic strategies targeting ER stress in chondrosarcoma based on tumor progression in single-cell resolution	CHEUNG Sin Chi Kelvin
194	HMRF - Advanced Medical Research	7182346	Prediction of recurrence and survival using big data analytics and machine learning in patients with hepatocellular carcinoma after curative surgery	CHIU Wan Hang Keith
195	HMRF - Advanced Medical Research	7182366	Patient-specific human induced pluripotent stem cell based multi-organ model for validation of genetic risks for anthracycline cardiotoxicity in childhood cancer patients - a pilot study	CHEUNG Yiu-fai
196	HMRF - Advanced Medical Research	7182416	Investigation and enumeration of circulating tumour cells during different stages of oral cavity cancer	CHOI Siu-Wai
197	HMRF - Advanced Medical Research	7182526	The Role of Homoharringtonine (HHT) and Combined Therapy of Homoharringtonine with Everolimus in the Treatment of Acute Lymphoblastic Leukaemia	SIN CHUN FUNG
198	HMRF - Advanced Medical Research	7182546	Targeting the glycolytic enzyme PFKFB4 in liver cancer underlying p53 mutation: mechanistic insight and therapeutic implication	CHAN LO KONG
199	HMRF - Advanced Medical Research	7182706	Artificial Intelligence for Prostate Cancer Detection and Grading in Magnetic Resonance Imaging	CAO Peng
200	HMRF - Advanced Medical Research	7183176	Management of oral mucositis using low-level laser therapy in nasopharyngeal cancer patients receiving chemo-radiotherapy: A randomized-controlled trial (MAGNETO)	LEE WEE-YEE SHARA
201	HMRF - Advanced Medical Research	7183206	Functional characterization of fucosyltransferase 1 (FUT1) in promoting cancer stemness properties in hepatocellular carcinoma	MA Stephanie Kwai Yee
202	HMRF - Advanced Medical Research	7183246	A study of the role of salt-inducible kinase 2 in regulating chemo-resistance of liver cancer cells	CHING Yick Pang
203	HMRF - Advanced Medical Research	7183266	Investigation of a novel deep learning-based pulmonary ventilation imaging method for lung cancer functional avoidance radiotherapy	CAI Jing
204	HMRF - Advanced Medical Research	7183616	Role of TRIP13 gene in hepatocellular carcinoma development and disease progression	MA Ken Hoi-tang
205	HMRF - Advanced Medical Research	7183796	Investigating the role of SOX10-FOXK1-FSTL1 regulatory axis and the therapeutic potential of targeting FSTL1 in melanoma	CHEUNG Martin Chi Hang
206	HMRF - Advanced Medical Research	7183826	Investigation of tumor-infiltrating regulatory B cells in ovarian cancer with lymphotoxin overexpression	LEE Jacqueline Ho-sze
207	HMRF - Infectious Disease (former RFCID)	8070172	Helicobacter pylori-induced DNA methylation during gastric carcinogenesis	Cheng ASL
208	HMRF - Infectious Disease (former RFCID)	8070332	Elucidating gene regulatory networks of HBx isolated from novel HBV subgenotype/mutants associated with increased risk of hepatocellular carcinoma	Cheng ASL
209	HMRF - Infectious Disease (former RFCID)	8070522	Latent-lytic switch of Epstein-Barr virus infection in EBV associated gastric carcinomas	Yu J
210	HMRF - Infectious Disease (former RFCID)	8070652	Fine mapping candidate loci for nasopharyngeal carcinoma (NPC) in southern Chinese specifically linked to EBV aetiopathogenesis	Song YQ
211	HMRF - Health and Health Services (former HHSRF)	8090481	Beneficial interaction between Chinese medicine Marsdenia tenacissima and anti-cancer drugs via reversal of ABC drug transporter-mediated multidrug resistance	Lin G
212	HMRF - Health and Health Services (former HHSRF)	8090791	Perceptions of cancer risk and self-care practices: A comparison of groups at different risk for cancers	Fielding R
213	HMRF - Health and Health Services (former HHSRF)	8090851	A Study on Health-related Quality of Life of patients with Colorectal Neoplasm and Cost-Effectiveness Analysis of Colorectal Cancer Screening in Hong Kong	Lam LKC
214	HMRF - Health and Health Services (former HHSRF)	8090921	A longitudinal study of psychosocial needs, physical symptom distress, and psychological distress of Chinese patients with colorectal cancer	Lam WWT
215	HMRF - Advanced Medical Research	8190406	Multicentered Prospective Randomized Controlled Trial On Contrast-Enhanced Harmonic Endoscopic Ultrasound (CH_EUS) Vs Conventional EUS-Guided Fine Needle Biopsy (FNB) For Solid Pancreatic Lesions	CHONG Charing Ching-ning
216	HMRF - Advanced Medical Research	8190446	Asia-Pacific Multi-Center Randomized Trial of Laparoscopic versus Open Major Hepatectomy for Hepatocellular Carcinoma (AP-LAPO Trial)	NG Kelvin K.C.
217	HMRF - Advanced Medical Research	8190586	Digital image analysis of tumor infiltrating lymphocyte and tertiary lymphoid organ in breast cancer	TSE Gary Man-kit
218	HMRF - Advanced Medical Research	8190616	Repositioning of non-oncology drugs with MET inhibitory effect to tackle osimertinib resistance in non-small cell lung cancer	TO Kenneth Kin-wah
219	HMRF - Advanced Medical Research	8190706	Branched chain amino acids (BCAA) restriction to alleviate colorectal cancer metastasis	WONG Chi Chun
220	HMRF - Advanced Medical Research	8190866	Bioengineering arginine decarboxylase as a new therapeutic for cancer treatment	LEE Marianne
221	HMRF - Advanced Medical Research	8191046	Restoration of p53 expression to facilitate CytoLytic Virus Activation (CLVA) therapy for targeting Epstein-Barr virus (EBV)-associated cancers.	HAU Pok Man
222	HMRF - Advanced Medical Research	8191076	Artificial intelligence image analysis in breast cancer detection and immunohistochemistry scoring.	CHAN Cheong Kin Ronald
223	HMRF - Advanced Medical Research	8191236	Functional characterization and therapeutic implication of nuclear receptor ERRalpha in mitochondrial metabolism and remodeling in prostate cancer	CHAN Franky Leung
224	HMRF - Advanced Medical Research	8191866	Targeting mitochondrial metabolism as novel anti-proliferative strategy for triple negative breast cancer	ZHAO Yanxiang
225	HMRF - Advanced Medical Research	8191906	Targeting complex/monosomy karyotype acute myeloid leukaemia carrying TP53 mutations with PLK4 inhibitor- a mechanistic and therapeutic study	NG Ka Lam
226	HMRF - Advanced Medical Research	8191916	Explore the relationship between ultrafine anaphase bridges and response to topoisomerase II inhibitors in colorectal cancer	CHAN Ying Wai
227	HMRF - Advanced Medical Research	8191946	The Acute Promyelocytic Leukaemia Asian Consortium (APL-AC) Project	SINGH GILL Harinder Harry
228	HMRF - Advanced Medical Research	8191956	Feasibility of next-generation inhalable nanoagglomerated microparticles to improve the therapeutic outcomes of non-small cell lung cancer: A pilot study	CHOW SHING FUNG
229	HMRF - Advanced Medical Research	8191986	Preclinical evaluation of albumin-encapsulated nanoparticles for the treatment of chemo-resistant glioblastoma through modulating ER stress response	KIANG Mei Yee
230	HMRF - Advanced Medical Research	8192066	Develop a zebrafish model of human chronic myelomonocytic leukaemia (CMML) based on recurrent mutation combinations	LEUNG Yu Hung
231	HMRF - Advanced Medical Research	8192106	Predictive value of CT texture analysis in indeterminate ovarian mass- a multi-centre validation study.	LEE Elaine Yuen Phin
232	HMRF - Advanced Medical Research	8192116	BRD9 deregulation in liver cancer: Pathological significance and therapeutic potentials	WONG Chun Ming
233	HMRF - Advanced Medical Research	8192166	Targeting proton shifting by a novel MCT4 inhibitor in treating acute myeloid leukemia	MAN Cheuk Him
234	HMRF - Advanced Medical Research	8192286	Exploiting fucosyltransferase 5 as a theranostic target in metastatic ovarian cancer	WONG Alice Sze Tsai
235	HMRF - Advanced Medical Research	8192296	Understanding NPC Molecular Subtypes Associated with Clinical Outcome and Their Impact on Tumor Microenvironment	DAI Wei
236	HMRF - Advanced Medical Research	8192396	Therapeutic Potentials of Polo-like kinase 4 inhibitor in Leiomyosarcoma	IP Philip Pun Ching
237	HMRF - Advanced Medical Research	8192516	Anti-mitotic agents elicit cytosolic DNA sensing STING pathway to improve efficiency of immune checkpoint inhibitors in liver cancer	LEE Derek
238	HMRF - Advanced Medical Research	8192576	Predicting persistent/recurrent oral squamous cell carcinomas with molecular biomarkers and clinical characteristics using machine learning	CHOI SIU-WAI
239	HMRF - Advanced Medical Research	8192876	Evaluation of lumican as a serum prognostic biomarker and actionable target for liver cancer	LO Cheuk Lam Regina
240	HMRF - Advanced Medical Research	8192926	Clinical significance of real-timing longitudinal monitoring of liquid biopsies for advanced colorectal cancer	KO Mun Yee
241	HMRF - Advanced Medical Research	8192936	A prototype artificial intelligence algorithm versus Liver Imaging Reporting and Data System (LI-RADS) criteria in diagnosing hepatocellular carcinoma on computed tomography: a randomized trial	SETO Wai-Kay Walter
242	HMRF - Advanced Medical Research	8193066	Identification of microbiota associated with colorectal cancer (CRC) metastasis and chemoresistance, and evaluation of their roles as predictive biomarker for response to chemotherapy.	FOO Chi Chung
243	HMRF - Advanced Medical Research	8193106	Modelling myeloproliferative neoplasms (MPNs) in a multi-colour transgenic zebrafish - mechanistic and therapeutic insights	SUN Xuan
244	HMRF - Advanced Medical Research	8193116	Therapeutic effect of DPP-4 inhibitors, which are approved to treat diabetes, on improving prognosis of post-operative colorectal cancer patients	LAW Wai Lun
245	HMRF - Advanced Medical Research	8193206	Molecular basis and therapeutic potential of ketogenic diet as an adjuvant to receptor tyrosine kinase inhibitor (TKi) targeted therapy in hepatocellular carcinoma	TONG Man
246	HMRF - Advanced Medical Research	8193416	Inhibition of hypoxia-induced hyaluronan synthase 3 (HAS3) to subvert the immune suppressive microenvironment in liver cancer	WONG Chak Lui Carmen
247	HMRF - Advanced Medical Research	8193596	WNT974 and artesunate exhibit synergy in inhibiting colorectal cancer growth by increasing KRAS protein degradation	KWAN Hiu Yee
248	HMRF - Advanced Medical Research	8194126	Subtyping CN-AML with modification biomarkers using Nanopore sequencing	LI Runsheng
249	HMRF - Infectious Disease (former RFCID)	9080042	Role of H3K27 trimethylation in Hepatitis B virus-induced hepatocarcinogenesis	Cheng ASL
250	HMRF - Infectious Disease (former RFCID)	9080422	The use of serum hepatitis B viral DNA in prognostication of liver cancers undergoing non-surgical therapy	Chan SL
251	HMRF - Infectious Disease (former RFCID)	9080782	Hepatitis B virus promotes hepatocarcinogenesis by activation of Pak1	Ching YP
252	HMRF - Infectious Disease (former RFCID)	9080862	Virological and Clinico-Pathological Factors In Estimating the Chance of Recurrence of Hepatocellular Carcinoma after Surgical Resection in Patients with Chronic Hepatitis B.	Yuen MF
253	HMRF - Health and Health Services (former HHSRF)	9100341	Evaluation of the efficacy of the combination of Turmeric and chemotherapeutics in colorectal cancer treatment--a preclinical study	Lau BSC
254	HMRF - Health and Health Services (former HHSRF)	9100411	A Randomised Controlled Trial On The Management Of Malignant Pleural Effusion: Small Bore Pleural Catheter vs Talc Pleurodesis	Underwood M
255	HMRF - Health and Health Services (former HHSRF)	9100561	A systematic review of molecular biomarkers predicting clinical outcomes of wild-type KRAS metastatic colorectal cancer treated with anti-EGFR monoclonal antibodies	Tang JL
256	HMRF - Health and Health Services (former HHSRF)	9100731	Perceived supportive-care needs and their mediating effects on the quality of life among head and neck cancer survivors	So KWW
257	HMRF - Health and Health Services (former HHSRF)	9100921	Optimizing resource allocation for breast cancer prevention and care in Hong Kong Chinese: A generalized cost-effectiveness analysis	Wong IOL
258	HMRF - Health and Health Services (former HHSRF)	9100991	Helping cancer patients quit smoking by increasing improving their risk perceptioncommunication between smoking and their own disease: a cluster randomized controlled trial	Chan SSC
259	HMRF - Advanced Medical Research	9200066	Letrozole in preventing recurrence of endometrioma following laparoscopic ovarian cystectomy	KO Ka Yee Jennifer
260	HMRF - Advanced Medical Research	9200576	Individualized prediction of acute radiation esophagitis in lung cancer patients through domain adaptation in a hybrid prospective and retrospective study	CAI Jing
261	HMRF - Advanced Medical Research	9200706	Long-term swallowing dysfunction in nasopharyngeal cancer survivors after definitive intensity-modulated radiotherapy: prevalence and radiation dose-toxicity analysis	CHOW Chung Hang James
262	HMRF - Advanced Medical Research	9200956	Characterisation of the role of long non-coding RNA, NORAD on HBX mediated chromosome instability.	CHING Wilson Yick-pang
263	HMRF - Advanced Medical Research	9201046	Efficacy and safety of ropeginterferon alfa-2b for pre-fibrotic primary myelofibrosis and DIPSS low/intermediate-1 risk myelofibrosis - the ROPEG-MF trial	SINGH GILL Harinder Harry
264	HMRF - Advanced Medical Research	9201616	Development of photoresponisve prodrug nanoparticles based on mTOR inhibitors for the treatment of skin cancer	WANG Weiping
265	HMRF - Advanced Medical Research	9201706	Clinical utility of epigenomic profiling for primary liver tumors in Chinese children	LIU Anthony Pak-yin
266	HMRF - Advanced Medical Research	9201856	Improved patient management through genomic analysis of uterine smooth muscle tumor of uncertain malignant potential (STUMP)	IP Philip Pun Ching
267	HMRF - Advanced Medical Research	9201976	Ferroptosis as potential target in ovarian cancer therapy	CHEUNG Annie Nga-yin
268	HMRF - Advanced Medical Research	9201996	Genome-wide CRISPR/Cas9 library screening identifies new combination therapeutic strategies suppressing glutamine and pyruvate metabolism in liver cancer	WONG Chak Lui Carmen
269	HMRF - Advanced Medical Research	9202046	Significance of serine protease inhibitor Kazal-type 1 (SPINK1) in liver cancer: function, regulation and therapeutic implication	MA Stephanie Kwai Yee
270	HMRF - Advanced Medical Research	9202136	A pre-clinical study on targeting FUT2 in hepatocellular carcinoma (HCC) with PTEN loss using patient derived organoid culture and animal model	WONG TIN LOK
271	HMRF - Advanced Medical Research	9202326	The blockage of tumor-endothelial crosstalk as a therapeutic approach for liver cancer	YAM Judy Wai Ping
272	HMRF - Advanced Medical Research	9202626	Evaluation of the combination of Mebendazole plus Navitoclax for the treatment of non-alcoholic fatty liver disease associated-hepatocellular carcinoma	YU Jun
273	HMRF - Advanced Medical Research	9202846	Psychosocial and functional outcomes in Chinese survivors of adolescent and young adult (AYA) cancer: a pilot study	CHEUNG Yin Ting
274	HMRF - Advanced Medical Research	9203106	Verification of the beneficial effect and safe use of combined FOLFOX and patrinia heterophylla herbal extract in colorectal cancer - proof-of-concept for clinical use	LAU Clara Bik San
275	HMRF - Advanced Medical Research	9203176	Targeting synthetic lethality interaction of MTAP and PRMT5/MAT2A axis in primary, recurrent and metastatic nasopharyngeal carcinoma	TSANG Anna Chi Man
276	HMRF - Advanced Medical Research	9203216	Investigation of the utility of CDK4/6 inhibitors in lung adenocarcinoma with patient-derived organoids: a preclinical, translational study	CHEUNG Ho Kwan Alvin
277	HMRF - Advanced Medical Research	9203576	Development of light-responsive nanocarriers as controlled drug release platform for triple-negative breast cancer therapy	LO Pik Kwan Peggy
278	HMRF - Advanced Medical Research	9203596	Single-cell hydrogel droplet screening to investigate intratumor heterogeneity for precision cancer intervention	CHEN Chia-Hung
279	HMRF - Advanced Medical Research	9203626	NIP7 as a novel therapeutic target for triple-negative breast cancer	CHIN Rebecca Yuet Ming
280	HMRF - Advanced Medical Research	9203756	Efficacy of lymphaticovenular anastomosis compared with complete decongestive therapy in treating breast cancer-related lymphoedema: a prospective, multicentre, single-blinded randomized controlled trial	MAK Michael Chu Kay
281	HMRF - Advanced Medical Research	9203766	Adjuvant immunotherapy with Streptococcus thermophilus-induced natural killer cells for colorectal cancer treatment	LI Qing
282	HMRF - Health and Health Services (former HHSRF)	10110021	The extract and bioactive component of Isodon eriocalyx: its use in monotherapy and in combination with gemcitabine for pancreatic cancer	Leung PS
283	HMRF - Health and Health Services (former HHSRF)	10110571	The association between molecular biomarkers in EGFR downstream signaling pathway and clinical outcomes of cetuximab treatment in patients with wild-type KRAS metastatic colorectal cancer	Tang JL
284	HMRF - Health and Health Services (former HHSRF)	10110891	Investigation of the inhibitory effects of metronomic zoledronate in combination with Coriolus versicolor in cancer propagation and bone metastasis in breast tumour rodent model	Lau BSC
285	HMRF - Health and Health Services (former HHSRF)	10111031	Disease burden of breast cancer in Hong Kong: an exploration of trends for screening policy and resource allocation	Wong IOL
286	HMRF - Health and Health Services (former HHSRF)	10111521	Informed decision making (IDM) for early breast cancer detection practices among Hong Kong Chinese women: The role and function of a decision aid	Wong IOL
287	HMRF - Infectious Disease (former RFCID)	11100022	Functional significance and clinical application of Epstein-Barr Virus-driven novel promoter hypermethylated genes (SSTR1, REC8, IL15RA) in gastric cancer	J Yun
288	HMRF - Health and Health Services (former HHSRF)	11120971	The predictive biomarkers for EGFR tyrosine kinase inhibitors treatment in patients with advanced non-small-cell lung cancer: A systematic review and meta-analysis of randomized controlled trials	Anon
289	HMRF - Health and Health Services (former HHSRF)	11120981	Investigation of the combined use of Andrographis paniculata and chemotherapeutics in the treatment of metastatic esophageal cancer - a pre-clinical study	CHIU WYP
290	HMRF - Health and Health Services (former HHSRF)	11121191	Exploring ginsenoside -Rb1 as an anti-cancer therapeutics on cancer stem cells	Wong ST
291	HMRF - Health and Health Services (former HHSRF)	11121951	Exploration of dietary compound isoliquiritigenin in chemosensitizing breast cancer stem cells by targeting aberrant ?-catenin signalling	Wang Z
292	HMRF - Health and Health Services (former HHSRF)	11122171	Elucidating the oncogenic potential of various hepatitis B viral gene components and cis-regulatory elements in vivo	Keng Wee-Keong Vincent
293	HMRF - Health and Health Services (former HHSRF)	11122401	Adoption of health promoting lifestyle among Chinese breast and colorectal cancer survivors during the first 5 years after completion of treatment	Ching SY
294	HMRF - Health and Health Services (former HHSRF)	11122531	The clinical potential of Astragalus polysaccharide in cancer therapy via synergism with antitumor drugs	HAN QBS
295	HMRF - Health and Health Services (former HHSRF)	11122911	Human papillomavirus (HPV) associated oropharyngeal cancer in Hong Kong. A population-based study on the prevalence and clinical outcomes	Lam WH
296	HMRF - Infectious Disease (former RFCID)	12110352	Regulation and function of histone demethylase JMJD3 in HBV-induced hepatocarcinogenesis	YC Chen
297	HMRF - Infectious Disease (former RFCID)	12110532	A novel androgen receptor oncogenic circuitry in hepatitis B virus-associated hepatocarcinogenesis	SL Zheng
298	HMRF - Health and Health Services (former HHSRF)	12130471	Is it safe to use estrogenic Chinese herbal medicines in breast cancer patients? - a preclinical evaluation	Lau CBS
299	HMRF - Health and Health Services (former HHSRF)	12130701	A Randomised Controlled Trial on Perioperative Elderly Patients Undergoing Colorectal Cancer Surgery with Enhanced Geriatric Input.	Mak TWC
300	HMRF - Health and Health Services (former HHSRF)	12130721	The concordance of KRAS, BRAF, PIK3CA, and PTEN status between primary tumors and corresponding metastases in patients with colorectal cancer: A systematic review and meta-analysis	Mao C
301	HMRF - Health and Health Services (former HHSRF)	12131081	Plasma microRNAs as prognostic biomarkers for localized prostate cancer	Wang F
302	HMRF - Health and Health Services (former HHSRF)	12131221	Synergism between tamoxifen and marmorin, a ribosome inactivating protein from an edible medicinal mushroom, on breast cancer in vitro and in vivo: a mechanistic study	Ng TB
303	HMRF - Health and Health Services (former HHSRF)	12131801	A randomised controlled trial to assess the effectiveness and cost effectiveness of acupuncture in the management of chemotherapy-induced peripheral neuropathy	Molasiotis A
304	HMRF - Health and Health Services (former HHSRF)	12132571	Diet after diagnosis: a qualitative study to explore the dietary choices made by newly diagnosed breast cancer patients	Fielding R
305	HMRF - Health and Health Services (former HHSRF)	12132881	Prenatal perfluorooctane sulfonate (PFOS) exposure and the risk of hepatocellular carcinoma: an in vivo mechanistic study	Lai KP
306	HMRF - Health and Health Services (former HHSRF)	12132931	Developing and testing a decision aid to support Chinese parents' HPV vaccination decision-making for adolescent girls: a randomised controlled trial	Lam WWT
307	HMRF - Health and Health Services (former HHSRF)	12132941	A prospective randomized study on health-related quality of life of patients with incidental small (<2cm) asymptomatic thyroid nodules and cost-effectiveness analysis in managing small incidental thyroid nodules	Lang B
308	HMRF - Health and Health Services (former HHSRF)	12133101	Autophagy in hypoxia-induced chemo-resistance in hepatocellular carcinoma and its potential as a novel therapeutic target	Liu XB
309	HMRF - Health and Health Services (former HHSRF)	12133111	Effectiveness of a brief, self-determination intervention for smoking cessation (immediate or progressive) among people attending emergency departments: a randomised controlled trial	Li WHC
310	HMRF - Health and Health Services (former HHSRF)	12133131	The effects of the IKKbeta-specific inhibitor PS1145 on tumor formation and metastasis in nasopharyngeal carcinoma	Lung HK
311	HMRF - Health and Health Services (former HHSRF)	12133191	Characterization of functions of RhoE/ROCK pathway in regulating chemoresistance of liver cancer	Ng OL
312	HMRF - Health and Health Services (former HHSRF)	12133251	Comparative Effectiveness Analysis of Lung Cancer Data from Randomized Clinical Trials and Observational Studies	Pang HHM
313	HMRF - Health and Health Services (former HHSRF)	12133541	The use of curcumin to circumvent cisplatin resistance in nasopharyngeal carcinoma	Wong TS
314	HMRF - Health and Health Services (former HHSRF)	13140651	Dynamic change of LSM-HCC score and enhanced liver fibrosis (ELF) score to predict hepatocellular carcinoma (HCC) in chronic hepatitis B patients: a long-term cohort study	WONG Lai Hung
315	HMRF - Health and Health Services (former HHSRF)	13140731	Bufalin, a Traditional Chinese Medicine (TCM) compound, for chemoprevention of colorectal cancer	CHENG Christopher Hon-ki
316	HMRF - Health and Health Services (former HHSRF)	13140761	Maternal exposure to Perfluorooctane sulfonate (PFOS) and the risk of childhood obesity and metabolic abnormalities in the offspring- analysis of a longitudinal birth cohort	MA Ronald Ching-wan
317	HMRF - Health and Health Services (former HHSRF)	13142201	The interaction of berberine with chemodrugs for treating EBV-associated carcinomas: the concern for lytic reactivation in affecting the drug efficacy	Tsang ACM
318	HMRF - Health and Health Services (former HHSRF)	13142271	Functional characterization of the MAP30 protein from bitter melon (Momordica charantia) in combating ovarian cancer oncogenesis and chemoresistance	Chan D
319	HMRF - Health and Health Services (former HHSRF)	13142391	FDG and 11C-acetate PET-CT scan to assess tumour response after stereotactic body radiation therapy as bridging therapy for patients with hepatocellular carcinoma awaiting liver transplantation	Lee V
320	HMRF - Health and Health Services (former HHSRF)	13142951	Combined Electroacupuncture and Auricular Acupuncture for Postoperative Pain after Abdominal Surgery for Gynecological Diseases: A Randomized Sham-controlled Trial	LAO Lixing
321	HMRF - Health and Health Services (former HHSRF)	13143141	Helping in-patients to quit smoking by understanding their risk perception, behavior, and attitudes related to smoking	Li WHC
322	HMRF - Health and Health Services (former HHSRF)	14150561	Design and development of BRD4 inhibitors for the treatment of BRD4-related cancers	MA Dik-Lung
323	HMRF - Health and Health Services (former HHSRF)	14150571	Elucidating the involvement of IL-17-IL-6-STAT3 axis in the anti-melanoma effects of a herbal formula comprising Flos Sophorae and Flos Lonicerae	YU Zhiling
324	HMRF - Health and Health Services (former HHSRF)	14151791	Study of target-based Chinese herbal medicine in suppression of aberrant cryptic foci: implication of colon cancer prevention	Sze CW
325	HMRF - Health and Health Services (former HHSRF)	14151841	Development of an explanatory model to explore the cervical cancer screening behaviour of ethnic minority women	CHAN Dorothy Ngo Sheung
326	HMRF - Health and Health Services (former HHSRF)	14153141	Identifying priority research questions for addressing unmet cancer palliative care needs using Chinese medicine with a systematic approach	CHUNG Vincent Chi-ho
327	HMRF - Health and Health Services (former HHSRF)	14153311	EGFR mutation testing in blood for guiding EGFR tyrosine kinase inhibitor treatment in patients with non-small cell lung cancer: A systematic review and cost-effectiveness analysis	TANG Jinling
328	HMRF - Health and Health Services (former HHSRF)	15160531	EGFR mutation-guided first-line target therapies of advanced non-small-cell lung cancer (NSCLC) - A health economic analysis	YOU Joyce Hoi-sze
329	HMRF - Health and Health Services (former HHSRF)	15160551	Risk of hepatocellular carcinoma in patients with chronic hepatitis B achieved complete viral suppression - role of on-treatment hepatitis B surface/core-related antigen (HBsAg/HBcrAg) levels	WONG Lai Hung
330	HMRF - Health and Health Services (former HHSRF)	15160691	Investigating the prognostic significance and therapeutic value of RAPTOR-ness for Head and Neck Cancer (HNC)	LUI Vivian Wai-yan
331	HMRF - Health and Health Services (former HHSRF)	15161231	A randomized controlled trial evaluating two e-health interventions (presence/absence of motivational interviewing) in increasing colorectal cancer screening among people aged 50-60 with moderate risk	LAU Joseph Tak-fai
332	HMRF - Health and Health Services (former HHSRF)	15161641	Return to work and work productivity in breast cancer: a longitudinal study	LAM Wendy Wing-tak
333	HMRF - Health and Health Services (former HHSRF)	15161781	Cost-effectiveness of anti-EGFR antibodies as first-line treatment in RAS wild type (WT) metastatic colorectal cancer (mCRC) in Hong Kong	Chiang CL
334	HMRF - Health and Health Services (former HHSRF)	15162611	Incident breast cancer burden attributable to modifiable risk factors: evaluating current evidence and projecting the future trends in Hong Kong	Wong IOL
335	HMRF - Health and Health Services (former HHSRF)	15162691	A combined cessation intervention with brief advice, nicotine replacement therapy sampling and active referral (BANSAR) for smoking fathers: a multicenter, single-blinded, pragmatic randomised controlled trial	WANG Man Ping
336	HMRF - Health and Health Services (former HHSRF)	15163001	Effectiveness of WhatsApp online group discussion for smoking relapse prevention: a pragmatic randomized controlled trial	CHEUNG Yee Tak Derek
337	HMRF - Health and Health Services (former HHSRF)	15163011	Psychometric evaluation of the Chinese version of the resilience scale for children	Chung JOK
338	HMRF - Health and Health Services (former HHSRF)	15163081	Territory-wide evaluation of treatment outcomes of non-metastatic nasopharyngeal carcinoma treated with radical intensity-modulated radiation therapy in Hong Kong	LEE Victor
339	HMRF - Health and Health Services (former HHSRF)	15163441	Regulation of microRNA biogenesis by BRAF-MEK targeted therapy: molecular mechanisms and role in drug resistance	YU Zhiling
340	HMRF - Infectious Disease (former RFCID)	16150472	Reactivation of Epstein-Barr virus (EBV) lytic cycle in EBV-associated epithelial malignancies by iron chelators and evaluation of its therapeutic potential	CHIANG Alan Kwok Shing
341	HMRF - Health and Health Services (former HHSRF)	16170321	Effects of immersive virtual reality for preventing and managing anxiety, nausea and vomiting among paediatric cancer patients receiving their first chemotherapy: An exploratory trial	WONG Cho Lee
342	HMRF - Health and Health Services (former HHSRF)	16170451	A novel liver-specific PD-L1-trap nanoparticle for hepatocellular carcinoma immunotherapy	CHENG Alfred Sze-lok
343	HMRF - Health and Health Services (former HHSRF)	16170851	Potential herb-drug interactions between androgenic chinese herbal medicines and androgen receptor antagonists (abiraterone acetate and enzalutamide) - a preclinical evaluation	XIAN Yan-fang
344	HMRF - Health and Health Services (former HHSRF)	16171511	Evaluation of the pre-clinical efficacy of baicalin in reversing hypoxia-induced sorafenib resistance in hepatocellular carcinoma	TAN Hor Yue
345	HMRF - Health and Health Services (former HHSRF)	16172701	Evaluation of the novel anti-cancer therapeutic agent K5-W and its combinatory effect with 5-FU in the treatment of drug resistant colorectal cancer	TAI Chi-Shing
346	HMRF - Health and Health Services (former HHSRF)	16172751	Berberine suppresses metastasis and recurrence of hepatocellular carcinoma via targeting circulating tumour cells	FENG Yibin
347	HMRF - Health and Health Services (former HHSRF)	16172761	The effect of acupuncture for insomnia in breast cancer patients undergoing chemotherapy: a randomized, sham-controlled trial	LAO Lixing
348	HMRF - Health and Health Services (former HHSRF)	16172831	Using information communication technology (WhatsApp/WeChat) to deliver Brief Motivational Interviewing (i-BMI) to promote smoking cessation among smokers with chronic diseases	LI William Ho Cheung
